Time,Flow,Throughput
197,1,0.315584
197,2,4.13952
197,3,0.181376
198,0,5.32022
198,1,0.235456
198,2,4.64755
198,3,0.205504
199,0,5.36256
199,1,0.236704
199,2,4.60522
199,3,0.20384
200,0,5.28259
200,1,0.234208
200,2,4.67578
200,3,0.206336
201,0,5.31552
201,1,0.260128
201,2,4.65325
201,3,0.30096
202,0,6.24691
202,1,0.275392
202,2,3.73498
202,3,0.16432
203,0,6.25632
203,1,0.277056
203,2,3.70205
203,3,0.16432
204,0,6.24691
204,1,0.276224
204,2,3.71616
204,3,0.163904
205,0,6.18106
205,1,0.272896
205,2,3.79613
205,3,0.167648
206,0,6.12931
206,1,0.271232
206,2,3.82435
206,3,0.169312
207,0,5.7671
207,1,0.332672
207,2,4.19126
207,3,0.183456
208,0,4.77456
208,1,0.210912
208,2,5.19322
208,3,0.230048
209,0,4.61933
209,1,0.204672
209,2,5.33904
209,3,0.23504
210,0,4.83101
210,1,0.212992
210,2,5.14678
210,3,0.31232
211,0,6.1105
211,1,0.269568
211,2,3.86198
211,3,0.17056
212,0,6.06816
212,1,0.268736
212,2,3.89491
212,3,0.172224
213,0,6.18106
213,1,0.272896
213,2,3.79613
213,3,0.167648
214,0,6.15283
214,1,0.272064
214,2,3.80554
214,3,0.16848
215,0,5.5319
215,1,0.324384
215,2,4.42176
215,3,0.193856
216,0,4.87805
216,1,0.215488
216,2,5.09443
216,3,0.225056
217,0,4.94861
217,1,0.218816
217,2,5.00976
217,3,0.221728
218,0,4.86394
218,1,0.215072
218,2,5.10384
218,3,0.225472
219,0,5.98819
219,1,0.263744
219,2,3.99674
219,3,0.273536
220,0,6.40685
220,1,0.283296
220,2,3.55622
220,3,0.157664
221,0,6.43507
221,1,0.284544
221,2,3.5327
221,3,0.156
222,0,6.4727
222,1,0.286208
222,2,3.49507
222,3,0.154336
223,0,6.10579
223,1,0.32752
223,2,3.85728
223,3,0.169312
224,0,5.13677
224,1,0.227552
224,2,4.8263
224,3,0.212992
225,0,5.20733
225,1,0.230048
225,2,4.75574
225,3,0.210496
226,0,5.21203
226,1,0.23088
226,2,4.74634
226,3,0.209664
227,0,5.26848
227,1,0.232544
227,2,4.70474
227,3,0.304512
228,0,6.64675
228,1,0.29328
228,2,3.33043
228,3,0.1456
229,0,6.5856
229,1,0.2912
229,2,3.37747
229,3,0.14976
230,0,6.64675
230,1,0.294112
230,2,3.32102
230,3,0.146848
231,0,6.54797
231,1,0.320608
231,2,3.41981
231,3,0.151008
232,0,5.46598
232,1,0.293792
232,2,4.48762
232,3,0.196768
233,0,5.37667
233,1,0.237952
233,2,4.5911
233,3,0.203008
234,0,5.4143
234,1,0.2392
234,2,4.54877
234,3,0.201344
235,0,5.22614
235,1,0.231712
235,2,4.73222
235,3,0.208416
236,0,4.4641
236,1,0.241536
236,2,5.50442
236,3,0.278304
237,0,4.25242
237,1,0.188032
237,2,5.71066
237,3,0.252096
238,0,4.25712
238,1,0.188448
238,2,5.70595
238,3,0.252512
239,0,4.37472
239,1,0.193024
239,2,5.59776
239,3,0.24752
240,0,4.65696
240,1,0.20592
240,2,5.30141
240,3,0.271232
241,0,6.28454
241,1,0.27664
241,2,3.7056
241,3,0.191136
242,0,6.35981
242,1,0.281216
242,2,3.60797
242,3,0.159328
243,0,6.41155
243,1,0.283712
243,2,3.54682
243,3,0.157248
244,0,6.30666
244,1,0.363168
244,2,3.65501
244,3,0.159744
245,0,5.27789
245,1,0.23296
245,2,4.68518
245,3,0.207168
246,0,5.31552
246,1,0.235456
246,2,4.65696
246,3,0.20592
247,0,5.35315
247,1,0.236704
247,2,4.60522
247,3,0.20384
248,0,5.25437
248,1,0.232544
248,2,4.7087
248,3,0.208
249,0,3.73968
249,1,0.20992
249,2,6.20928
249,3,0.272064
250,0,3.73027
250,1,0.165152
250,2,6.23267
250,3,0.373056
251,0,5.0568
251,1,0.221728
251,2,4.9439
251,3,0.2184
252,0,5.08502
252,1,0.225472
252,2,4.86864
252,3,0.215904
253,0,5.23085
253,1,0.231296
253,2,4.73222
253,3,0.209248
254,0,5.35786
254,1,0.236704
254,2,4.61462
254,3,0.20384
255,0,5.27318
255,1,0.246976
255,2,4.69459
255,3,0.207168
256,0,4.14893
256,1,0.237408
256,2,5.80003
256,3,0.255008
257,0,4.1113
257,1,0.181376
257,2,5.86589
257,3,0.259584
258,0,4.10659
258,1,0.181792
258,2,5.85178
258,3,0.258752
259,0,5.03798
259,1,0.222144
259,2,4.94797
259,3,0.306112
260,0,5.83296
260,1,0.257088
260,2,4.14422
260,3,0.182624
261,0,5.84237
261,1,0.258752
261,2,4.116
261,3,0.182624
262,0,5.95526
262,1,0.263328
262,2,4.00781
262,3,0.177216
263,0,5.91763
263,1,0.26208
263,2,4.04074
263,3,0.178464
264,0,4.94861
264,1,0.270176
264,2,5.00976
264,3,0.219648
265,0,4.69459
265,1,0.207584
265,2,5.26848
265,3,0.233376
266,0,4.77456
266,1,0.210912
266,2,5.19792
266,3,0.230048
267,0,4.76986
267,1,0.210912
267,2,5.19219
267,3,0.303424
268,0,6.24691
268,1,0.275808
268,2,3.73027
268,3,0.189472
269,0,6.33629
269,1,0.279552
269,2,3.6409
269,3,0.160576
270,0,6.37862
270,1,0.282048
270,2,3.58445
270,3,0.158912
271,0,6.37392
271,1,0.282048
271,2,3.58915
271,3,0.15808
272,0,5.79062
272,1,0.338176
272,2,4.16774
272,3,0.18304
273,0,5.10384
273,1,0.225472
273,2,4.86394
273,3,0.215072
274,0,5.15558
274,1,0.228384
274,2,4.80749
274,3,0.212576
275,0,5.09914
275,1,0.225472
275,2,4.86864
275,3,0.215072
276,0,5.7624
276,1,0.253344
276,2,4.22336
276,3,0.281568
277,0,6.5856
277,1,0.291616
277,2,3.36806
277,3,0.149344
278,0,6.5809
278,1,0.290784
278,2,3.38688
278,3,0.150176
279,0,6.63264
279,1,0.29328
279,2,3.33514
279,3,0.147264
280,0,6.44918
280,1,0.369632
280,2,3.50448
280,3,0.15392
281,0,5.31082
281,1,0.234624
281,2,4.65226
281,3,0.204672
282,0,5.36256
282,1,0.23712
282,2,4.60992
282,3,0.20384
283,0,5.38138
283,1,0.237952
283,2,4.5817
283,3,0.202592
284,0,5.09443
284,1,0.237984
284,2,4.86864
284,3,0.241728
285,0,5.48486
285,1,0.273536
285,2,4.48749
285,3,0.265312
286,0,5.71066
286,1,0.252512
286,2,4.25242
286,3,0.188448
287,0,5.84237
287,1,0.25792
287,2,4.13482
287,3,0.182624
288,0,5.85648
288,1,0.259168
288,2,4.10189
288,3,0.181792
289,0,5.86589
289,1,0.259168
289,2,4.10189
289,3,0.181376
290,0,5.86118
290,1,0.259168
290,2,4.10189
290,3,0.181376
291,0,5.7624
291,1,0.263232
291,2,4.20538
291,3,0.185536
292,0,4.63814
292,1,0.249856
292,2,5.32022
292,3,0.233376
293,0,4.13952
293,1,0.183456
293,2,5.81414
293,3,0.256672
294,0,4.84982
294,1,0.213408
294,2,5.12829
294,3,0.315712
295,0,5.72006
295,1,0.252096
295,2,4.26182
295,3,0.188448
296,0,5.72947
296,1,0.25376
296,2,4.22419
296,3,0.1872
297,0,5.86118
297,1,0.259168
297,2,4.1113
297,3,0.181792
298,0,5.83296
298,1,0.25792
298,2,4.12541
298,3,0.182208
299,0,5.04269
299,1,0.277056
299,2,4.91568
299,3,0.215488
300,0,4.60992
300,1,0.203424
300,2,5.36256
300,3,0.23712
301,0,4.68989
301,1,0.208
301,2,5.27318
301,3,0.233376
302,0,4.7087
302,1,0.207168
302,2,5.26122
302,3,0.302048
303,0,6.14342
303,1,0.271648
303,2,3.83376
303,3,0.19984
304,0,6.27043
304,1,0.277472
304,2,3.68794
304,3,0.163488
305,0,6.34099
305,1,0.279552
305,2,3.6409
305,3,0.16016
306,0,6.33629
306,1,0.280384
306,2,3.62678
306,3,0.160576
307,0,5.72947
307,1,0.31008
307,2,4.21949
307,3,0.18512
308,0,5.02387
308,1,0.222144
308,2,4.94861
308,3,0.218816
309,0,5.08502
309,1,0.22464
309,2,4.87805
309,3,0.215488
310,0,5.04269
310,1,0.222976
310,2,4.92038
310,3,0.217568
311,0,5.72006
311,1,0.25168
311,2,4.2632
311,3,0.28432
312,0,6.52445
312,1,0.28912
312,2,3.43392
312,3,0.15184
313,0,6.53386
313,1,0.288288
313,2,3.44803
313,3,0.152256
314,0,6.5809
314,1,0.291616
314,2,3.37277
314,3,0.149344
315,0,6.43283
315,1,0.344864
315,2,3.53741
315,3,0.156832
316,0,5.26848
316,1,0.234208
316,2,4.68048
316,3,0.204672
317,0,5.33904
317,1,0.235456
317,2,4.63344
317,3,0.205504
318,0,5.36256
318,1,0.23712
318,2,4.60992
318,3,0.203424
319,0,5.07091
319,1,0.243616
319,2,4.88275
319,3,0.257088
320,0,6.06816
320,1,0.274016
320,2,3.90525
320,3,0.225472
321,0,6.28925
321,1,0.277888
321,2,3.68323
321,3,0.162656
322,0,6.30336
322,1,0.279136
322,2,3.66442
322,3,0.16224
323,0,6.22339
323,1,0.274976
323,2,3.73968
323,3,0.165152
324,0,6.19987
324,1,0.274144
324,2,3.7679
324,3,0.166816
325,0,6.09638
325,1,0.269568
325,2,3.86198
325,3,0.170976
326,0,5.14147
326,1,0.281088
326,2,4.8216
326,3,0.210912
327,0,4.79808
327,1,0.21216
327,2,5.16029
327,3,0.227968
328,0,4.48762
328,1,0.198432
328,2,5.48016
328,3,0.27312
329,0,5.90822
329,1,0.259584
329,2,4.07466
329,3,0.232576
330,0,6.07757
330,1,0.269152
330,2,3.89021
330,3,0.171808
331,0,6.13872
331,1,0.271648
331,2,3.82435
331,3,0.169312
332,0,6.20458
332,1,0.274144
332,2,3.7632
332,3,0.166816
333,0,5.77651
333,1,0.308896
333,2,4.17715
333,3,0.182624
334,0,4.86864
334,1,0.215072
334,2,5.09443
334,3,0.225056
335,0,4.95331
335,1,0.218816
335,2,5.01917
335,3,0.222144
336,0,4.94861
336,1,0.218816
336,2,5.01446
336,3,0.221728
337,0,5.48016
337,1,0.241696
337,2,4.49091
337,3,0.294432
338,0,6.48211
338,1,0.286208
338,2,3.49507
338,3,0.154336
339,0,6.44918
339,1,0.285376
339,2,3.51389
339,3,0.155584
340,0,6.51504
340,1,0.288288
340,2,3.44803
340,3,0.152256
341,0,6.41155
341,1,0.283296
341,2,3.56563
341,3,0.157248
342,0,5.47664
342,1,0.327712
342,2,4.4688
342,3,0.196352
343,0,5.24966
343,1,0.232128
343,2,4.71811
343,3,0.208832
344,0,5.292
344,1,0.233792
344,2,4.67107
344,3,0.206336
345,0,5.06621
345,1,0.224224
345,2,4.90157
345,3,0.234272
346,0,6.3457
346,1,0.279136
346,2,3.64259
346,3,0.238304
347,0,6.59971
347,1,0.292032
347,2,3.35395
347,3,0.148512
348,0,6.63264
348,1,0.29328
348,2,3.34454
348,3,0.14768
349,0,6.62323
349,1,0.292864
349,2,3.33984
349,3,0.14768
350,0,5.74045
350,1,0.311872
350,2,4.20538
350,3,0.184288
351,0,5.37197
351,1,0.23712
351,2,4.60051
351,3,0.203424
352,0,5.4096
352,1,0.2392
352,2,4.55818
352,3,0.201344
353,0,5.37667
353,1,0.237952
353,2,4.5864
353,3,0.203008
354,0,4.704
354,1,0.271616
354,2,5.252
354,3,0.267072
355,0,4.24301
355,1,0.188032
355,2,5.71066
355,3,0.25168
356,0,4.21008
356,1,0.185952
356,2,5.7624
356,3,0.255008
357,0,4.29005
357,1,0.189696
357,2,5.68714
357,3,0.251264
358,0,4.48762
358,1,0.198016
358,2,5.47546
358,3,0.24336
359,0,5.43782
359,1,0.2392
359,2,4.55981
359,3,0.264768
360,0,6.37392
360,1,0.282048
360,2,3.57504
360,3,0.15808
361,0,6.38333
361,1,0.282048
361,2,3.59386
361,3,0.158496
362,0,6.43978
362,1,0.284544
362,2,3.51859
362,3,0.156
363,0,5.62813
363,1,0.33392
363,2,4.32768
363,3,0.189696
364,0,5.32022
364,1,0.23504
364,2,4.64285
364,3,0.205504
365,0,5.35786
365,1,0.23712
365,2,4.60992
365,3,0.20384
366,0,5.39078
366,1,0.238368
366,2,4.5817
366,3,0.202592
367,0,4.67107
367,1,0.273088
367,2,5.26848
367,3,0.230464
368,0,3.28339
368,1,0.145184
368,2,6.68909
368,3,0.294944
369,0,4.65696
369,1,0.204256
369,2,5.3335
369,3,0.333216
370,0,5.07562
370,1,0.22464
370,2,4.88275
370,3,0.215904
371,0,5.1744
371,1,0.2288
371,2,4.79338
371,3,0.21216
372,0,5.32963
372,1,0.235872
372,2,4.63344
372,3,0.205088
373,0,5.38138
373,1,0.237536
373,2,4.5817
373,3,0.202592
374,0,4.92509
374,1,0.265888
374,2,5.03328
374,3,0.220896
375,0,4.10659
375,1,0.181376
375,2,5.85178
375,3,0.258752
376,0,4.21949
376,1,0.186368
376,2,5.74829
376,3,0.254176
377,0,4.30886
377,1,0.190528
377,2,5.64835
377,3,0.335104
378,0,5.88941
378,1,0.26
378,2,4.09718
378,3,0.182208
379,0,5.91763
379,1,0.261248
379,2,4.05014
379,3,0.179296
380,0,5.9929
380,1,0.264576
380,2,3.98429
380,3,0.175968
381,0,6.05875
381,1,0.267904
381,2,3.90902
381,3,0.173056
382,0,5.79533
382,1,0.333024
382,2,4.15834
382,3,0.181792
383,0,4.6993
383,1,0.208
383,2,5.26378
383,3,0.23296
384,0,4.79338
384,1,0.211744
384,2,5.1744
384,3,0.229216
385,0,4.76515
385,1,0.210912
385,2,5.19792
385,3,0.229216
386,0,5.50838
386,1,0.242944
386,2,4.46605
386,3,0.295936
387,0,6.37862
387,1,0.281632
387,2,3.58915
387,3,0.158496
388,0,6.38333
388,1,0.282048
388,2,3.59386
388,3,0.158912
389,0,6.44918
389,1,0.285376
